course_id,course_name
C001,Data Structures and Algorithms
C002,Database Management Systems
C003,Operating Systems
C004,Computer Networks
C005,Machine Learning
C006,Artificial Intelligence
C007,Deep Learning
C008,Cloud Computing
C009,Cyber Security Fundamentals
C010,Web Development
C011,Mobile App Development
C012,Software Engineering
C013,Compiler Design
C014,Distributed Systems
C015,Discrete Mathematics
C016,Linear Algebra
C017,Probability and Statistics
C018,Calculus
C019,Physics for Engineers
C020,Chemistry for Engineers
C021,Thermodynamics
C022,Fluid Mechanics
C023,Strength of Materials
C024,Structural Analysis
C025,Circuit Theory
C026,Digital Electronics
C027,Microprocessors and Microcontrollers
C028,Signals and Systems
C029,Control Systems
C030,Biotechnology Basics
C031,Genetics and Cell Biology
C032,Biochemistry
C033,Environmental Science
C034,Architecture Design
C035,Urban Planning
C036,Marketing Management
C037,Financial Accounting
C038,Organizational Behavior
C039,Human Resource Management
C040,Economics
C041,Business Analytics
C042,Entrepreneurship
C043,Research Methodology
C044,Ethics and Values
C045,Communication Skills
C046,Technical Writing
C047,Project Management
C048,Data Visualization
C049,Big Data Analytics
C050,Cloud Architecture
