student_id,course_id,date
S950,C015,2025-06-29
S651,C016,2025-09-18
S925,C038,2024-10-21
S078,C034,2024-12-21
S085,C041,2025-11-20
S307,C032,2025-09-11
S412,C016,2025-07-21
S579,C044,2024-03-13
S655,C011,2024-07-10
S123,C002,2025-10-25
S946,C008,2025-06-19
S893,C001,2025-03-23
S189,C001,2023-12-31
S312,C012,2024-11-11
S661,C025,2025-04-18
S345,C011,2025-12-03
S579,C016,
S832,C013,2024-11-25
S371,C040,2025-07-24
S323,C006,
S866,C033,2024-06-08
S898,C027,2025-11-27
S657,C036,2025-09-24
S177,C036,2024-05-25
S736,C048,2024-09-09
S549,C002,2025-08-01
S205,C030,2025-03-07
S258,C047,2025-04-07
S358,C012,2025-09-03
S886,C045,2025-06-26
S172,C021,2025-10-07
S090,C009,2024-04-30
S939,C014,2024-02-28
S253,C017,2025-08-16
S628,C034,2024-10-16
S952,C002,2024-06-03
S551,C046,2024-09-03
S442,C040,2025-03-28
S201,C013,2025-08-04
S211,C011,2024-08-09
S548,C006,2025-06-23
S463,C033,2025-07-07
S494,C031,2025-10-17
S175,C003,2025-05-27
S988,C022,2024-06-17
S911,C001,2025-04-23
S878,C040,2025-05-29
S548,C032,2025-06-03
S590,C016,2024-12-11
S091,C033,2025-05-13
S387,C040,2025-05-21
S617,C003,
S542,C013,2024-09-26
S054,C028,2025-08-04
S851,C033,2025-08-21
S278,C032,2024-01-10
S983,C038,2024-07-16
S962,C050,2025-02-19
S695,C045,2025-08-16
S179,C012,2024-01-05
S197,C009,2024-10-14
S673,C016,2024-09-26
S753,C008,2024-02-27
S460,C027,2024-06-16
S603,C017,2025-02-14
S147,C046,2024-02-13
S668,C033,2024-12-01
S750,C025,2024-02-08
S451,C049,2025-08-17
S243,C038,2024-02-04
S972,C026,2025-02-19
S795,C031,2024-12-01
S270,C036,
S851,C043,2025-10-23
S490,C005,2024-07-06
S836,C035,2025-04-29
S981,C028,2025-03-02
S236,C027,2025-07-19
S849,C044,2025-04-04
S140,C002,2024-12-20
S618,C044,2025-05-20
S658,C036,2025-03-10
S062,C006,2024-11-26
S729,C047,2025-11-01
S583,C003,2025-09-23
S529,C007,2025-10-17
S902,C009,2025-02-11
S190,C018,2025-02-11
S406,C028,2025-01-16
S161,C005,2024-11-25
S186,C010,2025-11-22
S206,C005,2024-09-30
S912,C018,2024-08-05
S845,C008,2024-02-22
S054,C028,2024-08-10
S779,C046,2024-04-14
S757,C019,2024-08-12
S997,C022,2025-08-06
S077,C021,2025-05-10
S097,C017,2025-11-28
S063,C043,
S364,C030,2025-01-21
S269,C046,2025-06-20
S239,C035,2025-01-24
S738,C026,2025-08-16
S083,C006,2025-09-08
S461,C024,2025-06-28
S507,C037,2023-12-05
S036,C016,
S970,C001,2025-02-04
S831,C040,2024-11-09
S529,C048,2024-02-13
S524,C016,2023-12-07
S270,C022,2025-01-05
S881,C005,2025-12-03
S696,C050,2025-08-08
S969,C029,2025-02-22
S540,C020,2025-09-25
S557,C006,2024-05-16
S388,C013,2024-01-31
S049,C016,2025-05-09
S857,C040,2024-11-01
S838,C029,2024-12-20
S593,C050,2024-10-20
S611,C017,2024-09-26
S501,C035,2024-12-03
S207,C028,2025-09-10
S812,C032,2024-03-02
S627,C014,2024-07-24
S558,C002,2024-07-03
S539,C004,2024-01-23
S062,C043,2025-10-15
S576,C038,2024-06-17
S048,C003,2025-09-22
S752,C050,2025-11-29
S211,C028,2025-04-20
S781,C006,2025-01-22
S496,C031,2024-01-15
S925,C040,2024-03-14
S786,C035,2024-04-04
S812,C039,2025-07-24
S472,C025,2024-02-13
S995,C010,2025-07-12
S221,C019,2024-08-15
S505,C042,2025-04-26
S607,C045,2024-03-21
S951,C030,2025-08-12
S789,C024,2025-06-18
S277,C037,2024-08-06
S728,C008,2025-02-26
S794,C018,2024-05-03
S888,C043,2024-04-15
S920,C012,2024-05-08
S307,C006,2025-08-20
S075,C018,2025-09-04
S300,C030,2025-03-13
S350,C010,2024-07-09
S415,C050,
S716,C009,2025-03-30
S190,C032,2024-04-16
S012,C023,2024-02-07
S227,C025,2024-09-22
S550,C035,2025-11-28
S887,C028,2024-06-11
S947,C001,2025-05-17
S646,C030,2025-10-31
S736,C033,2024-02-06
S945,C037,2025-07-31
S733,C043,2024-06-21
S932,C032,2025-08-30
S153,C034,2023-12-31
S548,C030,2024-07-13
S306,C024,2024-07-14
S365,C006,2024-02-26
S889,C031,2024-02-23
S468,C005,2024-03-11
S327,C027,2024-03-11
S626,C027,2025-03-03
S679,C049,2025-05-29
S291,C014,2024-10-19
S275,C045,2024-04-09
S640,C048,2024-12-30
S345,C036,2024-03-15
S074,C035,2025-05-30
S332,C023,2025-08-24
S838,C034,2024-05-29
S076,C010,2025-10-17
S038,C001,2024-05-19
S840,C019,2025-11-07
S658,C010,2024-11-25
S523,C003,2023-12-07
S683,C037,2024-02-27
S692,C005,2025-08-14
S402,C036,
S975,C033,2024-10-12
S919,C033,2024-12-10
S544,C046,
S214,C007,2025-11-19
S573,C018,2024-02-24
S723,C046,2024-04-26
S596,C026,2025-08-10
S967,C004,2025-09-18
S628,C030,2025-02-03
S383,C020,2025-03-26
S023,C022,2024-07-19
S623,C050,2025-02-24
S346,C024,2023-12-18
S927,C017,2025-11-25
S329,C012,2024-06-13
S705,C019,2024-11-22
S894,C036,2025-01-14
S327,C012,2025-08-13
S071,C049,2025-06-30
S859,C034,2025-11-17
S104,C001,2024-02-03
S952,C041,
S248,C006,2024-08-10
S565,C001,
S118,C014,2024-11-04
S802,C040,2025-02-01
S935,C035,2024-07-20
S335,C042,
S220,C039,2024-03-21
S752,C011,2024-05-01
S081,C020,2025-11-05
S430,C004,2025-04-19
S740,C036,
S799,C020,2025-08-29
S797,C033,2025-08-06
S105,C028,2024-08-24
S488,C001,2024-10-03
S615,C050,2025-07-27
S585,C015,2024-09-13
S332,C015,2024-03-30
S819,C002,2024-08-30
S090,C005,2025-04-03
S645,C023,2024-03-19
S230,C022,2025-09-21
S272,C011,2025-01-02
S752,C027,
S954,C013,2024-03-26
S837,C006,2024-04-23
S212,C015,2025-06-22
S527,C022,2025-07-25
S923,C048,2024-04-23
S845,C047,2025-05-19
S082,C039,2025-07-20
S247,C031,2025-08-04
S161,C034,2024-05-10
S566,C005,2025-04-17
S686,C049,2023-12-19
S887,C040,2025-09-02
S891,C023,2025-04-26
S829,C049,2025-11-20
S166,C012,2024-01-30
S286,C038,2025-11-29
S986,C032,
S310,C014,2024-06-02
S682,C044,2024-08-31
S359,C006,2025-07-23
S013,C004,2024-02-14
S992,C043,2024-11-13
S979,C013,2024-09-06
S682,C038,2023-12-29
S973,C017,2025-11-15
S722,C002,
S431,C017,2025-01-19
S446,C020,2024-04-05
S858,C033,2025-12-04
S099,C017,2025-08-15
S698,C031,2025-06-09
S851,C024,2024-03-21
S371,C001,2025-09-02
S465,C023,2024-01-30
S118,C001,2024-11-20
S019,C038,2024-06-24
S215,C028,2024-06-16
S104,C045,2025-04-30
S833,C043,2024-09-19
S504,C049,2024-11-17
