course_id,course_name
C001,Course 1
C002,Course 2
C003,Course 3
C004,Course 4
C005,Course 5
C006,Course 6
C007,Course 7
C008,Course 8
C009,Course 9
C010,Course 10
C011,Course 11
C012,Course 12
C013,Course 13
C014,Course 14
C015,Course 15
C016,Course 16
C017,Course 17
C018,Course 18
C019,Course 19
C020,Course 20
C021,Course 21
C022,Course 22
C023,Course 23
C024,Course 24
C025,Course 25
C026,Course 26
C027,Course 27
C028,Course 28
C029,Course 29
C030,Course 30
C031,Course 31
C032,Course 32
C033,Course 33
C034,Course 34
C035,Course 35
C036,Course 36
C037,Course 37
C038,Course 38
C039,Course 39
C040,Course 40
C041,Course 41
C042,Course 42
C043,Course 43
C044,Course 44
C045,Course 45
C046,Course 46
C047,Course 47
C048,Course 48
C049,Course 49
C050,Course 50
