student_id,course_id,date
S01449,C001,2024-02-25
S05743,C025,2025-09-22
S06619,C046,2025-05-18
S07329,C018,2025-07-27
S02771,C020,2024-07-17
S09904,C030,2024-01-04
S09338,C007,2025-04-04
S06307,C033,2025-08-22
S00082,C028,2025-05-05
S01595,C019,2024-08-07
S01936,C012,2025-11-26
S04280,C012,2024-07-05
S01968,C015,2025-01-31
S02912,C003,2024-04-25
S06261,C003,2025-11-11
S03597,C015,2024-01-29
S08413,C034,2024-06-12
S00966,C034,2024-06-22
S04289,C006,2024-03-22
S06986,C026,2025-01-08
S06067,C031,2023-12-08
S01010,C009,2025-06-26
S03268,C043,2024-05-26
S00159,C025,2024-08-17
S08719,C015,2024-11-29
S01951,C013,2025-07-12
S04569,C031,2024-10-31
S09569,C009,2025-01-15
S08595,C004,2024-03-27
S04613,C030,2024-08-09
S09058,C038,2024-05-21
S08785,C044,2025-08-09
S04516,C021,2025-11-01
S08072,C022,2024-09-28
S07921,C015,2025-09-26
S00164,C047,2024-03-08
S04055,C021,2025-05-30
S02599,C003,2024-04-19
S03572,C006,2025-04-27
S06936,C008,2025-03-23
S00524,C008,2025-01-06
S09741,C045,2024-04-27
S02984,C044,2024-01-05
S03459,C045,2025-09-02
S05328,C049,2024-02-14
S03351,C015,2025-07-18
S05458,C004,2025-11-24
S02647,C050,2025-09-24
S02854,C016,2025-02-25
S06534,C019,2025-04-27
S07636,C041,2025-03-24
S07266,C036,2024-10-31
S00270,C048,2024-10-07
S01315,C034,2024-06-28
S01842,C014,2025-08-31
S03476,C031,2024-06-26
S02777,C035,2024-12-03
S08867,C039,2025-03-23
S04391,C024,2024-12-15
S07611,C005,2023-12-22
S00808,C001,2025-02-15
S09691,C030,2024-06-29
S09655,C012,2025-05-14
S02962,C018,2024-09-22
S08133,C035,2024-04-15
S07048,C009,2024-03-04
S02947,C019,2025-08-16
S08379,C006,2024-01-03
S07386,C021,2024-07-06
S07985,C035,2024-02-12
S09580,C028,2024-10-14
S08360,C043,2024-03-22
S09967,C006,2025-07-09
S06798,C034,2025-03-14
S07305,C006,2025-02-17
S06632,C042,2024-06-10
S08741,C044,2025-01-13
S07809,C012,2024-05-07
S06966,C017,2024-10-31
S09728,C037,2025-09-29
S06715,C027,2024-12-09
S01096,C017,2025-05-09
S02461,C029,2024-02-05
S03774,C009,2025-10-03
S01822,C035,2024-05-31
S05517,C009,2025-01-06
S04892,C041,2025-02-02
S08442,C036,2024-05-07
S02779,C040,2025-10-17
S03483,C047,2024-03-26
S09305,C021,2024-12-07
