student_id,course_id,date
S001,C101,2024-01-10
S002,C103,2024-01-12
S003,C106,2024-01-15
S004,C102,2024-01-18
S005,C105,2024-01-20
S006,C103,2024-01-22
S007,C106,2024-01-25
S008,C101,2024-01-28
S009,C105,2024-02-01
S010,C103,2024-02-03
S011,C101,2024-02-05
S012,C106,2024-02-08
S013,C105,2024-02-10
S014,C103,2024-02-12
S015,C102,2024-02-15
S016,C106,2024-02-18
S017,C105,2024-02-20
S018,C103,2024-02-22
S019,C102,2024-02-25
S020,C106,2024-02-27
S021,C105,2024-03-01
S022,C101,2024-03-03
S023,C103,2024-03-05
S024,C106,2024-03-08
S025,C105,2024-03-10
