customer_id,session_duration,video_views,followers,registration_date,total_purchases,avg_order_value,last_login,account_balance,content_posted,membership_duration
1,2hr 30min,150K,2.5M,2020-03-15,45,2340.50,2024-12-10,125K,3hr 45min,4yr 9mo
2,1hr 45min,89K,1.2M,2021-06-22,23,1890.25,2024-12-08,55K,2hr 15min,3yr 6mo
3,3hr 20min,210K,5.8M,2019-11-08,67,3120.75,2024-12-11,245K,5hr 10min,5yr 1mo
4,45min,32K,450K,2023-01-30,12,980.00,2024-11-15,15K,1hr 5min,1yr 11mo
5,5hr 10min,310K,8.9M,2018-09-12,89,4250.30,2024-12-11,425K,6hr 30min,6yr 3mo
6,1hr 52min,112K,1.8M,2021-07-25,34,1560.80,2024-12-09,68K,2hr 40min,3yr 5mo
7,2hr 58min,178K,4.2M,2020-05-03,56,2890.40,2024-12-10,189K,4hr 20min,4yr 7mo
8,1hr 7min,67K,890K,2022-08-17,18,1120.50,2024-11-20,28K,1hr 30min,2yr 4mo
9,4hr 27min,267K,7.5M,2019-02-14,78,3780.60,2024-12-11,340K,5hr 45min,5yr 10mo
10,1hr 35min,95K,1.5M,2021-10-27,28,1450.25,2024-12-07,52K,2hr 10min,3yr 2mo
11,2hr 14min,134K,2.8M,2020-11-19,41,2120.90,2024-12-09,102K,3hr 15min,4yr 1mo
12,52min,38K,520K,2022-03-22,15,890.75,2024-11-18,18.5K,1hr 10min,2yr 9mo
13,3hr 18min,198K,5.2M,2019-05-11,62,3340.20,2024-12-10,235K,4hr 50min,5yr 7mo
14,1hr 43min,103K,1.7M,2021-07-08,31,1680.45,2024-12-08,64K,2hr 25min,3yr 5mo
15,2hr 42min,162K,3.6M,2020-01-16,52,2560.80,2024-12-10,156K,3hr 55min,4yr 11mo
16,1hr 11min,71K,980K,2022-04-29,19,1050.30,2024-11-22,26K,1hr 40min,2yr 8mo
17,4hr 5min,245K,6.9M,2019-09-13,71,3590.75,2024-12-11,298K,5hr 30min,5yr 3mo
18,1hr 28min,88K,1.3M,2021-06-05,26,1390.60,2024-12-07,46K,2hr 5min,3yr 6mo
19,2hr 28min,148K,3.1M,2020-11-20,48,2340.90,2024-12-09,132K,3hr 30min,4yr 1mo
20,1hr 18min,78K,1.1M,2022-02-18,21,1230.40,2024-11-25,34K,1hr 50min,2yr 10mo
21,4hr 49min,289K,8.2M,2019-05-07,83,4120.50,2024-12-11,395K,6hr 15min,5yr 7mo
22,1hr 58min,118K,2.1M,2021-10-14,36,1780.25,2024-12-08,78K,2hr 50min,3yr 2mo
23,3hr 5min,185K,4.5M,2020-12-03,58,2980.70,2024-12-10,201K,4hr 30min,4yr 0mo
24,48min,35K,480K,2022-09-28,14,920.80,2024-11-17,16.8K,1hr 8min,2yr 3mo
25,4hr 16min,256K,7.1M,2019-07-15,74,3680.40,2024-12-11,315K,5hr 50min,5yr 5mo
26,1hr 38min,98K,1.6M,2021-01-09,29,1520.90,2024-12-07,56K,2hr 20min,3yr 11mo
27,2hr 19min,139K,2.9M,2020-08-22,44,2230.60,2024-12-09,115K,3hr 25min,4yr 4mo
28,1hr 3min,63K,820K,2022-12-17,17,1080.50,2024-11-19,24.5K,1hr 25min,2yr 0mo
29,3hr 43min,223K,6.1M,2019-04-25,66,3450.80,2024-12-10,265K,5hr 5min,5yr 8mo
30,1hr 47min,107K,1.8M,2021-03-19,32,1620.70,2024-12-08,63K,2hr 30min,3yr 9mo
31,2hr 49min,169K,3.8M,2020-06-08,54,2670.30,2024-12-10,168K,4hr 5min,4yr 6mo
32,1hr 14min,74K,1M,2022-10-02,20,1180.90,2024-11-23,31K,1hr 45min,2yr 2mo
33,4hr 31min,271K,7.8M,2019-02-24,76,3820.60,2024-12-11,335K,6hr 5min,5yr 10mo
34,1hr 24min,84K,1.4M,2021-09-03,24,1340.80,2024-12-07,42K,2hr 0min,3yr 3mo
35,2hr 35min,155K,3.4M,2020-05-21,50,2460.50,2024-12-09,144K,3hr 50min,4yr 7mo
36,58min,37K,560K,2022-12-29,16,980.60,2024-11-20,20.5K,1hr 15min,2yr 0mo
37,3hr 58min,238K,6.5M,2019-06-18,69,3560.90,2024-12-10,285K,5hr 25min,5yr 6mo
38,1hr 32min,92K,1.5M,2021-03-27,27,1460.30,2024-12-08,50K,2hr 12min,3yr 9mo
39,2hr 22min,142K,3M,2020-07-09,46,2290.80,2024-12-09,124K,3hr 35min,4yr 5mo
40,1hr 21min,81K,1.2M,2022-10-15,22,1270.50,2024-11-26,36K,1hr 55min,2yr 2mo
41,4hr 38min,278K,8M,2019-01-28,80,4020.70,2024-12-11,370K,6hr 20min,5yr 11mo
42,1hr 54min,114K,2M,2021-11-22,33,1720.40,2024-12-08,70K,2hr 45min,3yr 1mo
43,3hr 1min,181K,4.3M,2020-05-17,57,2890.60,2024-12-10,192K,4hr 25min,4yr 7mo
44,1hr 9min,69K,920K,2022-08-09,18,1120.70,2024-11-21,27K,1hr 35min,2yr 4mo
45,4hr 9min,249K,7M,2019-12-11,72,3620.80,2024-12-11,302K,5hr 40min,5yr 0mo
46,1hr 41min,101K,1.7M,2021-02-24,30,1580.20,2024-12-07,58K,2hr 22min,3yr 10mo
47,2hr 31min,151K,3.3M,2020-10-13,49,2410.90,2024-12-09,138K,3hr 45min,4yr 2mo
48,1hr 12min,72K,990K,2022-05-06,19,1150.40,2024-11-24,29K,1hr 42min,2yr 7mo
49,4hr 25min,265K,7.3M,2019-08-27,77,3890.50,2024-12-11,345K,5hr 55min,5yr 4mo
50,1hr 33min,87K,1.4M,2021-02-22,25,1420.60,2024-12-07,45K,2hr 8min,3yr 10mo
51,2hr 17min,137K,2.9M,2020-04-07,43,2180.70,2024-12-09,110K,3hr 20min,4yr 8mo
